ID,答题时间,Q1_身份,Q2_年龄段,Q3_配送类型,Q4_配送区域类型,Q5_是否用过驿站,Q6_跑单时长,Q7_最不便方面_多选,Q8_驿站重要功能_多选,Q9_驿站选址偏好,Q10_方案取舍,Q11_效率恢复_量表,Q12_安全缓冲_量表,Q13_价值感知_量表,Q14_寻找难易_量表,Q15_注意力测试_量表,Q16_使用流程_量表,Q17_习惯难度_量表,Q18_使用可能_量表,Q19_推荐意愿_量表,Q20_运营费用承担_多选,Q21_付费意愿,Q22_广告接受度_量表,Q23_运营顾虑_开放,Q24_从业时间,Q25_月收入,Q26_商户店铺类型,Q27_商户店址位置,Q28_骑手客源占比,Q29_目前骑手停留情况,Q30_参与合作意向,Q31_合作顾虑点_多选,Q32_激励方式偏好_多选,Q33_商户具体想法_开放,Q34_居民见骑手频率,Q35_对骑手露宿态度,Q36_对驿站总体态度,Q37_50米内距离敏感度,Q38_居民主要担忧_多选,Q39_驿站管理原则_多选,Q40_参与讨论意愿,Q41_居民建议建议_开放,Q42_社区居住时长
170,516,外卖骑手,18-24岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,"上厕所不便,手机/电瓶车充电难","充足的电瓶车停车位,便利服务",小区出入口/门卫室附近,A（高频便利型）,4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,"由外卖平台承担,向骑手收取少量费用",完全不愿意,5.0,可以的,不到6个月,5000元以下,,,,,,,,跳过,,,,,,,,没啥,
171,369,外卖骑手,41岁及以上,众包,住宅区/社区为主,知道，但从没用过,4-8小时,"上厕所不便,身体疲劳无处缓解","便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,"完全由政府出资,广告收入",愿意支付,5.0,没想法,6个月-1年,8000-12000元,,,,,,,,没啥,,,,,,,,不知道,
173,360,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,暂无,,,药店/诊所,是，就在小区门口,是，经常来,很少有,可以考虑,影响店面卫生,水电补贴,无意见,,,,,,,,不知道,
174,606,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,没想法,,,药店/诊所,是，就在小区门口,很少,很少有,不愿意,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",外卖员确实很辛苦，能帮一点是一点。,,,,,,,,没想法,
175,320,外卖骑手,31-40岁,众包,混合区域,完全不知道,少于4小时,"手机/电瓶车充电难,上厕所不便","基础休憩,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,4.0,"向骑手收取少量费用,广告收入",完全不愿意,5.0,最怕的就是里面卫生没人搞，脏得很,3年以上,5000元以下,,,,,,,,-,,,,,,,,。,
176,154,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,跳过,,,餐饮店,是，就在小区门口,偶尔来,从未有过,非常愿意,安全责任问题,"水电补贴,平台流量曝光",支持,,,,,,,,。,
177,226,外卖骑手,25-30岁,众包,商业区/写字楼为主,完全不知道,8-12小时,"找不到合适地方休息,身体疲劳无处缓解,饮水不便","应急庇护,基础休憩",社区党群服务中心,B（综合保障型）,4.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,"完全由政府出资,广告收入",愿意支付,3.0,挺好的,1-3年,8000-12000元,,,,,,,,跳过,,,,,,,,1,
178,545,外卖骑手,25-30岁,专送,商业区/写字楼为主,是，经常用,超过12小时,"找不到合适地方休息,手机/电瓶车充电难,身体疲劳无处缓解","充足的电瓶车停车位,基础休憩",闲置核酸亭/集装箱改造,B（综合保障型）,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,"完全由政府出资,广告收入",不太愿意,3.0,-,3年以上,5000-8000元,,,,,,,,不知道,,,,,,,,1,
179,275,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,没啥,,,,,,,,,,没,经常看到,没感觉,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,没啥,少于1年
180,200,外卖骑手,31-40岁,专送,住宅区/社区为主,完全不知道,4-8小时,"上厕所不便,找不到合适地方休息,身体疲劳无处缓解","充电续航,便利服务",社区便利店/超市内,B（综合保障型）,4.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0,4.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,3.0,不知道,1-3年,5000元以下,,,,,,,,无意见,,,,,,,,没想法,
181,258,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,。,,,,,,,,,,1,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,无所谓,没啥,1-5年
182,246,外卖骑手,31-40岁,专送,商业区/写字楼为主,知道，但从没用过,8-12小时,身体疲劳无处缓解,"基础休憩,应急庇护",社区便利店/超市内,A（高频便利型）,5.0,4.0,4.0,5.0,1.0,5.0,5.0,3.0,4.0,"完全由政府出资,由外卖平台承担",愿意支付,2.0,还行,不到6个月,8000-12000元,,,,,,,,暂无,,,,,,,,没有,
183,565,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,无意见,,,其他服务店,是，在100米内,是，经常来,经常有,可以考虑,安全责任问题,"平台流量曝光,水电补贴",主要是怕出事，电瓶车起火那可不是闹着玩的,,,,,,,,暂无,
184,474,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,1,,,其他服务店,是，在100米内,偶尔来,经常有,不愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",可以的,,,,,,,,-,
185,302,外卖骑手,18-24岁,专送,商业区/写字楼为主,是，经常用,4-8小时,"饮水不便,上厕所不便","充足的电瓶车停车位,基础休憩",社区便利店/超市内,B（综合保障型）,4.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,"向骑手收取少量费用,完全由政府出资",不太愿意,1.0,-,1-3年,5000-8000元,,,,,,,,没,,,,,,,,1,
186,192,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,暂无,,,餐饮店,否,偶尔来,很少有,不愿意,安全责任问题,水电补贴,无意见,,,,,,,,-,
188,239,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,无意见,,,餐饮店,是，在100米内,很少,很少有,不愿意,影响店面卫生,"水电补贴,平台流量曝光",外卖小哥也是潜在客户，互惠互利挺好。,,,,,,,,没啥,
189,605,外卖骑手,41岁及以上,众包,商业区/写字楼为主,是，经常用,少于4小时,饮水不便,"应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,"向骑手收取少量费用,广告收入",不太愿意,2.0,有时候为了抢个充电头还能吵起来,1-3年,12000元以上,,,,,,,,。,,,,,,,,无,
190,367,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,。,,,,,,,,,,暂无,很少看到,没感觉,不太支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,没啥,少于1年
191,228,外卖骑手,18-24岁,众包,混合区域,是，偶尔用,4-8小时,"身体疲劳无处缓解,上厕所不便,饮水不便","便利服务,充足的电瓶车停车位",社区便利店/超市内,A（高频便利型）,3.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,"由外卖平台承担,广告收入",愿意支付,3.0,。,不到6个月,12000元以上,,,,,,,,暂无,,,,,,,,没啥,
192,442,外卖骑手,18-24岁,众包,住宅区/社区为主,知道，但从没用过,超过12小时,手机/电瓶车充电难,"充电续航,基础休憩",小区出入口/门卫室附近,C（弹性流动型）,5.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,"向骑手收取少量费用,广告收入",不太愿意,5.0,没啥,不到6个月,8000-12000元,,,,,,,,1,,,,,,,,1,
193,440,外卖骑手,18-24岁,众包,住宅区/社区为主,完全不知道,4-8小时,"身体疲劳无处缓解,上厕所不便","应急庇护,充电续航",小区出入口/门卫室附近,A（高频便利型）,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,"完全由政府出资,向骑手收取少量费用",视情况而定,4.0,希望平台能多出点钱支持一下。,不到6个月,5000元以下,,,,,,,,没有,,,,,,,,无意见,
194,592,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,暂无,,,,,,,,,,跳过,偶尔看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",禁止吸烟,不太愿意,看情况,1-5年
195,69,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,不知道,,,便利店/小超市,否,偶尔来,经常有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,同意,,,,,,,,。,
196,304,外卖骑手,41岁及以上,专送,住宅区/社区为主,知道，但从没用过,少于4小时,"找不到合适地方休息,饮水不便,身体疲劳无处缓解","充足的电瓶车停车位,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,"向骑手收取少量费用,完全由政府出资",不太愿意,5.0,跳过,3年以上,5000-8000元,,,,,,,,没啥,,,,,,,,。,
197,111,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,-,,,其他服务店,是，就在小区门口,很少,偶尔有,非常愿意,"影响店面卫生,安全责任问题",平台流量曝光,1,,,,,,,,无意见,
198,112,外卖骑手,41岁及以上,众包,混合区域,是，经常用,8-12小时,"找不到合适地方休息,饮水不便,身体疲劳无处缓解","应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",愿意支付,1.0,暂无,6个月-1年,5000元以下,,,,,,,,没有,,,,,,,,没啥,
199,349,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,暂无,,,,,,,,,,-,经常看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",不太愿意,。,5年以上
200,224,社区居民,31-40岁,,,,,,,,,,,,,,,,,,,,,没啥,,,,,,,,,,没,经常看到,影响美观,中立,是,充电消防隐患,"物业监督,禁止吸烟",愿意,没啥,5年以上
201,118,外卖骑手,18-24岁,专送,住宅区/社区为主,知道，但从没用过,8-12小时,身体疲劳无处缓解,"基础休憩,充足的电瓶车停车位",社区便利店/超市内,C（弹性流动型）,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,"完全由政府出资,广告收入",完全不愿意,4.0,没啥,6个月-1年,5000元以下,,,,,,,,没想法,,,,,,,,。,
202,922,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,没想法,,,药店/诊所,否,是，经常来,从未有过,可以考虑,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",没有,,,,,,,,暂无,
203,274,外卖骑手,18-24岁,众包,混合区域,是，经常用,8-12小时,"找不到合适地方休息,身体疲劳无处缓解,手机/电瓶车充电难","便利服务,充足的电瓶车停车位",小区出入口/门卫室附近,A（高频便利型）,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,"由外卖平台承担,广告收入",完全不愿意,3.0,-,不到6个月,5000-8000元,,,,,,,,没,,,,,,,,无意见,
204,257,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,无,,,其他服务店,否,偶尔来,经常有,不愿意,安全责任问题,平台流量曝光,不错,,,,,,,,无意见,
205,643,外卖骑手,31-40岁,专送,商业区/写字楼为主,知道，但从没用过,4-8小时,"手机/电瓶车充电难,找不到合适地方休息","便利服务,应急庇护",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,"广告收入,向骑手收取少量费用",愿意支付,4.0,无,6个月-1年,5000元以下,,,,,,,,。,,,,,,,,无意见,
206,334,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,没啥,,,其他服务店,是，在100米内,很少,经常有,非常愿意,影响店面卫生,水电补贴,有些小哥脾气不好，怕引起纠纷。,,,,,,,,不知道,
207,102,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,1,,,药店/诊所,是，在100米内,偶尔来,从未有过,非常愿意,影响店面卫生,水电补贴,无,,,,,,,,没想法,
208,290,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,无意见,,,,,,,,,,1,偶尔看到,觉得辛苦,比较支持,否,充电消防隐患,"禁止吸烟,物业监督",无所谓,-,少于1年
209,267,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,4-8小时,饮水不便,"应急庇护,充电续航",社区便利店/超市内,A（高频便利型）,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,"广告收入,完全由政府出资",不太愿意,5.0,无,1-3年,12000元以上,,,,,,,,无意见,,,,,,,,1,
210,289,外卖骑手,18-24岁,专送,商业区/写字楼为主,知道，但从没用过,8-12小时,上厕所不便,"便利服务,应急庇护",闲置核酸亭/集装箱改造,B（综合保障型）,3.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,"向骑手收取少量费用,完全由政府出资",不太愿意,3.0,没有,3年以上,5000元以下,,,,,,,,跳过,,,,,,,,1,
211,177,外卖骑手,25-30岁,专送,混合区域,知道，但从没用过,超过12小时,饮水不便,"便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,"广告收入,向骑手收取少量费用",视情况而定,3.0,不知道,不到6个月,5000-8000元,,,,,,,,不知道,,,,,,,,无,
212,427,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,少于4小时,"饮水不便,手机/电瓶车充电难,上厕所不便","充足的电瓶车停车位,便利服务",社区便利店/超市内,A（高频便利型）,4.0,5.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,"广告收入,完全由政府出资",愿意支付,4.0,没想法,不到6个月,8000-12000元,,,,,,,,无意见,,,,,,,,没有,
213,335,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,暂无,,,便利店/小超市,是，就在小区门口,很少,从未有过,可以考虑,安全责任问题,水电补贴,跳过,,,,,,,,没想法,
214,1303,外卖骑手,25-30岁,众包,住宅区/社区为主,知道，但从没用过,8-12小时,"找不到合适地方休息,手机/电瓶车充电难","便利服务,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,"广告收入,向骑手收取少量费用",完全不愿意,3.0,没遇到,不到6个月,5000元以下,,,,,,,,。,,,,,,,,跳过,
215,331,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,1,,,便利店/小超市,否,是，经常来,从未有过,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,千万别弄成治安死角，晚上也得有人看着。,,,,,,,,无意见,
216,223,外卖骑手,25-30岁,专送,混合区域,完全不知道,超过12小时,"手机/电瓶车充电难,上厕所不便","基础休憩,充足的电瓶车停车位",社区便利店/超市内,C（弹性流动型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,"完全由政府出资,向骑手收取少量费用",视情况而定,3.0,要是能有个打气筒和小扳手就更完美了。,6个月-1年,5000-8000元,,,,,,,,跳过,,,,,,,,无意见,
217,878,外卖骑手,25-30岁,专送,商业区/写字楼为主,是，经常用,4-8小时,"饮水不便,身体疲劳无处缓解","应急庇护,便利服务",小区出入口/门卫室附近,C（弹性流动型）,4.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,"由外卖平台承担,广告收入",愿意支付,1.0,挺好的,1-3年,12000元以上,,,,,,,,没想法,,,,,,,,没啥,
218,410,外卖骑手,18-24岁,众包,商业区/写字楼为主,是，经常用,超过12小时,"饮水不便,手机/电瓶车充电难,身体疲劳无处缓解","便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,"向骑手收取少量费用,由外卖平台承担",完全不愿意,3.0,暂无,6个月-1年,5000-8000元,,,,,,,,不知道,,,,,,,,暂无,
219,387,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，偶尔用,4-8小时,找不到合适地方休息,"基础休憩,充电续航",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,5.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,"广告收入,向骑手收取少量费用",完全不愿意,4.0,没有,1-3年,5000元以下,,,,,,,,没,,,,,,,,暂无,
220,273,外卖骑手,31-40岁,众包,商业区/写字楼为主,是，偶尔用,4-8小时,"身体疲劳无处缓解,饮水不便,找不到合适地方休息","便利服务,基础休憩",社区便利店/超市内,A（高频便利型）,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,"向骑手收取少量费用,广告收入",完全不愿意,2.0,没有,3年以上,8000-12000元,,,,,,,,没,,,,,,,,无,
221,157,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,跳过,,,,,,,,,,1,偶尔看到,不希望聚集,非常支持,是,"充电消防隐患,噪音/卫生问题",禁止吸烟,愿意,同意,1-5年
223,547,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,无意见,,,其他服务店,是，就在小区门口,是，经常来,很少有,非常愿意,安全责任问题,"水电补贴,平台流量曝光",无意见,,,,,,,,没啥,
224,277,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,无意见,,,,,,,,,,没啥,很少看到,觉得辛苦,不太支持,否,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",不太愿意,大家互相体谅吧，谁都有点外卖的时候。,5年以上
225,240,外卖骑手,25-30岁,专送,混合区域,是，偶尔用,8-12小时,身体疲劳无处缓解,"充电续航,基础休憩",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,4.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,"完全由政府出资,由外卖平台承担",不太愿意,2.0,暂无,不到6个月,12000元以上,,,,,,,,无意见,,,,,,,,不知道,
226,307,外卖骑手,31-40岁,众包,住宅区/社区为主,完全不知道,超过12小时,"饮水不便,手机/电瓶车充电难","充电续航,充足的电瓶车停车位",社区便利店/超市内,B（综合保障型）,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,"由外卖平台承担,广告收入",愿意支付,5.0,没遇到,6个月-1年,5000-8000元,,,,,,,,跳过,,,,,,,,没有,
227,280,社区周边商户,25-30岁,,,,,,,,,,,,,,,,,,,,,。,,,便利店/小超市,否,是，经常来,偶尔有,非常愿意,"安全责任问题,影响店面卫生",水电补贴,没,,,,,,,,无意见,
228,283,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,没,,,,,,,,,,没有,很少看到,没感觉,中立,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,无意见,5年以上
229,387,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,没想法,,,,,,,,,,没啥,经常看到,影响美观,比较支持,是,"噪音/卫生问题,充电消防隐患",物业监督,愿意,门禁要严一点，别为了方便驿站让小区大门敞开。,5年以上
230,393,外卖骑手,18-24岁,众包,住宅区/社区为主,是，偶尔用,4-8小时,"找不到合适地方休息,手机/电瓶车充电难","基础休憩,应急庇护",社区党群服务中心,A（高频便利型）,4.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,4.0,"广告收入,完全由政府出资",不太愿意,3.0,充电速度太慢了，耽误时间。,不到6个月,8000-12000元,,,,,,,,1,,,,,,,,没有,
231,111,外卖骑手,18-24岁,众包,商业区/写字楼为主,知道，但从没用过,超过12小时,找不到合适地方休息,"充电续航,便利服务",闲置核酸亭/集装箱改造,B（综合保障型）,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,"由外卖平台承担,完全由政府出资",不太愿意,5.0,无意见,1-3年,8000-12000元,,,,,,,,没啥,,,,,,,,跳过,
232,808,外卖骑手,18-24岁,专送,混合区域,是，偶尔用,4-8小时,"手机/电瓶车充电难,身体疲劳无处缓解","应急庇护,充足的电瓶车停车位",社区便利店/超市内,C（弹性流动型）,3.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,"完全由政府出资,向骑手收取少量费用",不太愿意,3.0,里面有点异味，希望有人能定期打扫。,1-3年,8000-12000元,,,,,,,,。,,,,,,,,。,
233,765,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,很少看到,没感觉,非常支持,是,充电消防隐患,物业监督,无所谓,无,少于1年
234,220,外卖骑手,25-30岁,众包,商业区/写字楼为主,是，偶尔用,超过12小时,找不到合适地方休息,"充电续航,应急庇护",小区出入口/门卫室附近,C（弹性流动型）,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,"完全由政府出资,向骑手收取少量费用",视情况而定,3.0,希望能多加点充电口，每次去都没空位,1-3年,5000-8000元,,,,,,,,没啥,,,,,,,,-,
235,109,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,没想法,,,其他服务店,否,很少,偶尔有,非常愿意,影响店面卫生,平台流量曝光,没有,,,,,,,,暂无,
236,560,外卖骑手,18-24岁,众包,住宅区/社区为主,完全不知道,8-12小时,找不到合适地方休息,"便利服务,应急庇护",小区出入口/门卫室附近,A（高频便利型）,5.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,4.0,"完全由政府出资,广告收入",完全不愿意,2.0,如果可以免费修修车就好了,6个月-1年,5000-8000元,,,,,,,,没想法,,,,,,,,没想法,
237,564,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,无,,,,,,,,,,不知道,经常看到,觉得辛苦,非常支持,否,噪音/卫生问题,"物业监督,禁止吸烟",不太愿意,多装几个监控，出了事好找人,5年以上
238,504,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,没想法,,,,,,,,,,无,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,别大半夜的还在那里大声聊天，影响我们睡觉。,5年以上
239,576,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,没,,,药店/诊所,是，就在小区门口,是，经常来,经常有,不愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",不知道,,,,,,,,1,
240,740,外卖骑手,18-24岁,专送,商业区/写字楼为主,完全不知道,少于4小时,饮水不便,"应急庇护,便利服务",社区便利店/超市内,A（高频便利型）,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,"由外卖平台承担,完全由政府出资",愿意支付,2.0,停电瓶车的地方要稍微宽敞一点。,不到6个月,5000元以下,,,,,,,,没,,,,,,,,没想法,
241,520,外卖骑手,25-30岁,众包,混合区域,知道，但从没用过,超过12小时,"饮水不便,手机/电瓶车充电难","基础休憩,便利服务",闲置核酸亭/集装箱改造,A（高频便利型）,4.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,"由外卖平台承担,向骑手收取少量费用",不太愿意,4.0,1,不到6个月,12000元以上,,,,,,,,没有,,,,,,,,1,
242,256,社区居民,18-24岁,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,跳过,很少看到,影响美观,非常支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,不知道,少于1年
243,1277,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,没有,,,其他服务店,否,是，经常来,很少有,可以考虑,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",我们平时也是把卖剩下的东西分给小哥的。,,,,,,,,-,
244,70,外卖骑手,25-30岁,众包,混合区域,是，偶尔用,超过12小时,"饮水不便,找不到合适地方休息,上厕所不便","基础休憩,便利服务",社区便利店/超市内,A（高频便利型）,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,"完全由政府出资,广告收入",完全不愿意,3.0,1,不到6个月,5000-8000元,,,,,,,,无意见,,,,,,,,不知道,
245,289,外卖骑手,31-40岁,专送,住宅区/社区为主,知道，但从没用过,8-12小时,"饮水不便,手机/电瓶车充电难","充电续航,便利服务",闲置核酸亭/集装箱改造,B（综合保障型）,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,"向骑手收取少量费用,广告收入",愿意支付,2.0,有些地方进去还要填表登记，太耽误时间了。,不到6个月,8000-12000元,,,,,,,,。,,,,,,,,无,
246,375,社区居民,25-30岁,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,没有,经常看到,觉得辛苦,不太支持,否,充电消防隐患,"禁止吸烟,物业监督",无所谓,-,少于1年
247,205,外卖骑手,25-30岁,众包,住宅区/社区为主,是，经常用,少于4小时,"手机/电瓶车充电难,饮水不便","便利服务,应急庇护",社区便利店/超市内,A（高频便利型）,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,"完全由政府出资,由外卖平台承担",完全不愿意,5.0,跳过,不到6个月,12000元以上,,,,,,,,。,,,,,,,,无,
248,346,社区周边商户,18-24岁,,,,,,,,,,,,,,,,,,,,,不知道,,,便利店/小超市,否,偶尔来,从未有过,不愿意,安全责任问题,水电补贴,政府要是能补贴点电费，我这边肯定没问题。,,,,,,,,1,
249,546,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,8-12小时,"找不到合适地方休息,饮水不便,上厕所不便","充电续航,应急庇护",社区便利店/超市内,A（高频便利型）,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,5.0,"向骑手收取少量费用,由外卖平台承担",愿意支付,2.0,暂无,1-3年,8000-12000元,,,,,,,,。,,,,,,,,-,
250,683,社区居民,41岁及以上,,,,,,,,,,,,,,,,,,,,,没想法,,,,,,,,,,1,偶尔看到,影响美观,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,挺好的,1-5年
251,687,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,4-8小时,"上厕所不便,身体疲劳无处缓解,手机/电瓶车充电难","充足的电瓶车停车位,应急庇护",社区便利店/超市内,B（综合保障型）,5.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,"由外卖平台承担,完全由政府出资",视情况而定,3.0,。,6个月-1年,5000元以下,,,,,,,,没,,,,,,,,无意见,
252,385,社区周边商户,31-40岁,,,,,,,,,,,,,,,,,,,,,1,,,其他服务店,是，就在小区门口,很少,从未有过,不愿意,安全责任问题,"平台流量曝光,水电补贴",关键是谁来管理？不能弄得乱七八糟的。,,,,,,,,1,
253,201,外卖骑手,25-30岁,专送,混合区域,是，经常用,少于4小时,"手机/电瓶车充电难,上厕所不便,找不到合适地方休息","便利服务,充电续航",社区便利店/超市内,A（高频便利型）,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,"向骑手收取少量费用,完全由政府出资",愿意支付,5.0,不知道,不到6个月,5000-8000元,,,,,,,,没想法,,,,,,,,暂无,
254,296,外卖骑手,18-24岁,众包,混合区域,知道，但从没用过,8-12小时,"身体疲劳无处缓解,手机/电瓶车充电难","充电续航,基础休憩",社区便利店/超市内,A（高频便利型）,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,"向骑手收取少量费用,完全由政府出资",愿意支付,5.0,看情况,6个月-1年,8000-12000元,,,,,,,,。,,,,,,,,无,
255,373,外卖骑手,25-30岁,专送,住宅区/社区为主,是，偶尔用,8-12小时,"上厕所不便,手机/电瓶车充电难,饮水不便","便利服务,应急庇护",闲置核酸亭/集装箱改造,A（高频便利型）,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,"向骑手收取少量费用,完全由政府出资",视情况而定,4.0,支持,6个月-1年,8000-12000元,,,,,,,,暂无,,,,,,,,没有,
256,533,社区周边商户,41岁及以上,,,,,,,,,,,,,,,,,,,,,1,,,餐饮店,是，就在小区门口,偶尔来,偶尔有,不愿意,"安全责任问题,影响店面卫生",水电补贴,可以给他们提供点热水，别的也帮不上什么。,,,,,,,,不知道,
